time point	time (ms)
1	-200.1953
2	-199.707
3	-199.2188
4	-198.7305
5	-198.2422
6	-197.7539
7	-197.2656
8	-196.7773
9	-196.2891
10	-195.8008
11	-195.3125
12	-194.8242
13	-194.3359
14	-193.8477
15	-193.3594
16	-192.8711
17	-192.3828
18	-191.8945
19	-191.4063
20	-190.918
21	-190.4297
22	-189.9414
23	-189.4531
24	-188.9648
25	-188.4766
26	-187.9883
27	-187.5
28	-187.0117
29	-186.5234
30	-186.0352
31	-185.5469
32	-185.0586
33	-184.5703
34	-184.082
35	-183.5938
36	-183.1055
37	-182.6172
38	-182.1289
39	-181.6406
40	-181.1523
41	-180.6641
42	-180.1758
43	-179.6875
44	-179.1992
45	-178.7109
46	-178.2227
47	-177.7344
48	-177.2461
49	-176.7578
50	-176.2695
51	-175.7813
52	-175.293
53	-174.8047
54	-174.3164
55	-173.8281
56	-173.3398
57	-172.8516
58	-172.3633
59	-171.875
60	-171.3867
61	-170.8984
62	-170.4102
63	-169.9219
64	-169.4336
65	-168.9453
66	-168.457
67	-167.9688
68	-167.4805
69	-166.9922
70	-166.5039
71	-166.0156
72	-165.5273
73	-165.0391
74	-164.5508
75	-164.0625
76	-163.5742
77	-163.0859
78	-162.5977
79	-162.1094
80	-161.6211
81	-161.1328
82	-160.6445
83	-160.1563
84	-159.668
85	-159.1797
86	-158.6914
87	-158.2031
88	-157.7148
89	-157.2266
90	-156.7383
91	-156.25
92	-155.7617
93	-155.2734
94	-154.7852
95	-154.2969
96	-153.8086
97	-153.3203
98	-152.832
99	-152.3438
100	-151.8555
101	-151.3672
102	-150.8789
103	-150.3906
104	-149.9023
105	-149.4141
106	-148.9258
107	-148.4375
108	-147.9492
109	-147.4609
110	-146.9727
111	-146.4844
112	-145.9961
113	-145.5078
114	-145.0195
115	-144.5313
116	-144.043
117	-143.5547
118	-143.0664
119	-142.5781
120	-142.0898
121	-141.6016
122	-141.1133
123	-140.625
124	-140.1367
125	-139.6484
126	-139.1602
127	-138.6719
128	-138.1836
129	-137.6953
130	-137.207
131	-136.7188
132	-136.2305
133	-135.7422
134	-135.2539
135	-134.7656
136	-134.2773
137	-133.7891
138	-133.3008
139	-132.8125
140	-132.3242
141	-131.8359
142	-131.3477
143	-130.8594
144	-130.3711
145	-129.8828
146	-129.3945
147	-128.9063
148	-128.418
149	-127.9297
150	-127.4414
151	-126.9531
152	-126.4648
153	-125.9766
154	-125.4883
155	-125
156	-124.5117
157	-124.0234
158	-123.5352
159	-123.0469
160	-122.5586
161	-122.0703
162	-121.582
163	-121.0938
164	-120.6055
165	-120.1172
166	-119.6289
167	-119.1406
168	-118.6523
169	-118.1641
170	-117.6758
171	-117.1875
172	-116.6992
173	-116.2109
174	-115.7227
175	-115.2344
176	-114.7461
177	-114.2578
178	-113.7695
179	-113.2813
180	-112.793
181	-112.3047
182	-111.8164
183	-111.3281
184	-110.8398
185	-110.3516
186	-109.8633
187	-109.375
188	-108.8867
189	-108.3984
190	-107.9102
191	-107.4219
192	-106.9336
193	-106.4453
194	-105.957
195	-105.4688
196	-104.9805
197	-104.4922
198	-104.0039
199	-103.5156
200	-103.0273
201	-102.5391
202	-102.0508
203	-101.5625
204	-101.0742
205	-100.5859
206	-100.0977
207	-99.6094
208	-99.1211
